property	pre	post	verdict
identity.id	mii-ig-medikation	mii-ig-medikation	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/core/modul-medikation	https://www.medizininformatik-initiative.de/fhir/core/modul-medikation	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.medikation	de.medizininformatikinitiative.kerndatensatz.medikation	unchanged
identity.name	MII_IG_Medikation	MII_IG_Medikation	unchanged
identity.version	2026.0.1	2026.0.1	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.license	CC-BY-4.0	CC-BY-4.0	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik Initiative		expected-change
identity.status	active	active	unchanged
identity.title	MII IG Medikation	MII IG Medikation	unchanged
licence.contradictory	true	true	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	true	REGRESSION
mode	static	static	unchanged
artifacts.profiles	5	5	unchanged
artifacts.extensions	2	2	unchanged
artifacts.valuesets	5	5	unchanged
artifacts.codesystems	1	1	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	0	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	25	25	unchanged
artifacts.rulesets	28	57	expected-change
artifacts.invariants	3	3	unchanged
artifacts.mappings	2	2	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	40	40	unchanged
narrative.pages	36	55	expected-change
narrative.intro_note_pages	0	6	expected-change
narrative.translation_pages	0	19	expected-change
directives.total	316	316	unchanged
