# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0; the Markdown report is its rendering.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (non-authoritative guide tree, not migrated).
MIIIGModulMedikation/Index.page.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
MIIIGModulMedikation/Release-Notes.page.md	input/pagecontent/changes.md	semantic home per references/routing-table.tsv	3	semantic match 'releasenotes' -> changes (routing-table)
MIIIGModulMedikation/BeschreibungModul.page.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
MIIIGModulMedikation/KontextimGesamtprojektBezgezuanderenModulen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'kontextimgesamtprojekt' -> implementer-guidance (routing-table)
MIIIGModulMedikation/Referenzen.page.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'referenzen' -> implementer-guidance (routing-table)
MIIIGModulMedikation/AnwendungsflleInformationsmodell/Index.page.md	RETIRED	Quellseite traegt nur den Satz "Diese Seite wurde absichtlich leer gelassen" - ein Hub waere abgeleiteter Inhalt ohne Quelle (Guardrail 3). Human-Entscheidung 2026-09-01.	5	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulMedikation/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'szenarien' -> guidance (routing-table)
MIIIGModulMedikation/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen.page.md	input/pagecontent/logical-models.md	semantic home: die Quellseite rendert {{tree:.../LogicalModel/BasismodulMedikation}} und beschreibt genau dieses Logical Model; mit dem entfallenen Hub waere eine eigene Seite verwaist. Human-Review 2026-09-01.	3	no artefact anchor; no agreed page; 0 child page(s)
MIIIGModulMedikation/AnwendungsflleInformationsmodell/UML.page.md	input/pagecontent/uml-diagrams.md	semantic home per references/routing-table.tsv	3	semantic match 'uml' -> uml-diagrams (routing-table)
MIIIGModulMedikation/TechnischeImplementierung/Index.page.md	RETIRED	Quellseite traegt nur den Satz "Diese Seite wurde absichtlich leer gelassen" - ein Hub waere abgeleiteter Inhalt ohne Quelle (Guardrail 3). Human-Entscheidung 2026-09-01.	5	no artefact anchor; no agreed page; 3 child page(s)
MIIIGModulMedikation/TechnischeImplementierung/Terminologien.page.md	input/pagecontent/code-systems.md	semantic home per references/routing-table.tsv	3	semantic match 'terminologien' -> code-systems (routing-table)
MIIIGModulMedikation/TechnischeImplementierung/CapabilityStatement.page.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/Index.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	5 children, 4 anchoring distinct artefacts (StructureDefinition)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/MedicationAdministration.page.md	input/intro-notes/StructureDefinition-mii-pr-medikation-medication-administration-intro.md	content about one artefact - its intro note	1	compact match on mii-pr-medikation-medication-administration (1 candidate artefact)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/MedicationStatement.page.md	input/intro-notes/StructureDefinition-mii-pr-medikation-medication-statement-intro.md	content about one artefact - its intro note	1	compact match on mii-pr-medikation-medication-statement (1 candidate artefact)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/MedicationRequest.page.md	input/intro-notes/StructureDefinition-mii-pr-medikation-medication-request-intro.md	content about one artefact - its intro note	1	compact match on mii-pr-medikation-medication-request (1 candidate artefact)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/List.page.md	input/intro-notes/StructureDefinition-mii-pr-medikation-medikationsliste-intro.md	content about one artefact - its intro note	1	compact match on mii-pr-medikation-medikationsliste (1 candidate artefact)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/Medication/Index.page.md	input/pagecontent/profiles.md	family overview - h3/h4 section on an artefact index page	2	2 children, 2 anchoring distinct artefacts (StructureDefinition)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/Medication/Extension-Wirkstofftyp.page.md	input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstofftyp-intro.md	content about one artefact - its intro note	1	tokens match on mii-ex-medikation-wirkstofftyp (3 candidate artefacts)
MIIIGModulMedikation/TechnischeImplementierung/FHIR-Profile/Medication/Extension-Wirkstoffrelation.page.md	input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstoffrelation-intro.md	content about one artefact - its intro note	1	tokens match on mii-ex-medikation-wirkstoffrelation (1 candidate artefact)
ImplementationGuide-Common/**	input/images/	shared assets: 4 Bilder werden vom massgeblichen Baum per {{render:}} referenziert (7_Abbilding_Medikation_de.jpg, IG_Medikation_KDS_Kombinationspackungen.png, UML-2.x.png, Warning.jpg) - RETAIN statt RETIRED, Human-Review 2026-09-01	4	dir version -, guide.yaml version -, lang -, 0 page file(s); authoritative: mii-ig-medikation-v2025
mii-ig-medikation-de-v2024/**	RETIRED	historical version tree - retain unchanged, Gate-D retirement set (5.1a #3)	5	dir version 2024, guide.yaml version 2024.0.0, lang DE, 20 page file(s); authoritative: mii-ig-medikation-v2025
