id	layer	check	verdict	subject	evidence	autofix	action
C1-fbcdfc	conservation	C1	IDENTISCH	40 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-aeb5e4	conservation	C2	IDENTISCH	output/de (40 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-267698	conservation	C2	IDENTISCH	output/en (40 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e4ab3	conservation	C3	IDENTISCH	BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-26ba62	conservation	C3	IDENTISCH	Datenstzeinkl.Beschreibungen.page.md	migrated -> input/pagecontent/logical-models.md (input/pagecontent/logical-models.md)	-	-
C3-d2d566	conservation	C3	IDENTISCH	AnwendungsflleInformationsmodell/Index.page.md	retired: Quellseite traegt nur den Satz "Diese Seite wurde absichtlich leer gelassen" - ein Hub waere abgeleiteter Inhalt ohne Quelle (Guardrail 3). Human-Entscheidung 2026-09-01.	-	-
C3-fcd593	conservation	C3	IDENTISCH	UML.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-1d126d	conservation	C3	IDENTISCH	BeschreibungModul.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-b6e379	conservation	C3	IDENTISCH	MIIIGModulMedikation/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-c7063c	conservation	C3	IDENTISCH	KontextimGesamtprojektBezgezuanderenModulen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-b75bba	conservation	C3	IDENTISCH	Referenzen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-126e79	conservation	C3	IDENTISCH	Release-Notes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-32eff4	conservation	C3	IDENTISCH	CapabilityStatement.page.md	migrated -> input/pagecontent/capability-statements.md (input/pagecontent/capability-statements.md)	-	-
C3-880292	conservation	C3	IDENTISCH	FHIR-Profile/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-cc22b3	conservation	C3	IDENTISCH	List.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-medikation-medikationsliste-intro.md (input/intro-notes/StructureDefinition-mii-pr-medikation-medikationsliste-intro.md)	-	-
C3-9f45af	conservation	C3	IDENTISCH	Extension-Wirkstoffrelation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstoffrelation-intro.md (input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstoffrelation-intro.md)	-	-
C3-4259f7	conservation	C3	IDENTISCH	Extension-Wirkstofftyp.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstofftyp-intro.md (input/intro-notes/StructureDefinition-mii-ex-medikation-wirkstofftyp-intro.md)	-	-
C3-098d01	conservation	C3	IDENTISCH	Medication/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-8a4a10	conservation	C3	IDENTISCH	MedicationAdministration.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-medikation-medication-administration-intro.md (input/intro-notes/StructureDefinition-mii-pr-medikation-medication-administration-intro.md)	-	-
C3-0a5e40	conservation	C3	IDENTISCH	MedicationRequest.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-medikation-medication-request-intro.md (input/intro-notes/StructureDefinition-mii-pr-medikation-medication-request-intro.md)	-	-
C3-382535	conservation	C3	IDENTISCH	MedicationStatement.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-medikation-medication-statement-intro.md (input/intro-notes/StructureDefinition-mii-pr-medikation-medication-statement-intro.md)	-	-
C3-2fe7d8	conservation	C3	IDENTISCH	TechnischeImplementierung/Index.page.md	retired: Quellseite traegt nur den Satz "Diese Seite wurde absichtlich leer gelassen" - ein Hub waere abgeleiteter Inhalt ohne Quelle (Guardrail 3). Human-Entscheidung 2026-09-01.	-	-
C3-d04b32	conservation	C3	IDENTISCH	Terminologien.page.md	migrated -> input/pagecontent/code-systems.md (input/pagecontent/code-systems.md)	-	-
C4-7b2767	conservation	C4	NICHT PRUEFBAR	AnwendungsflleInformationsmodell/Index.page.md	the source page carries NO prose -- 0 generated table row(s) only	-	conservation of a generated view is not a text question; confirm the artefact page replaces it (R1)
C4-811435	conservation	C4	DIVERGIERT	BeschreibungModul.page.md	42 of 60 PROSE runs of the source page are in no target page (first: ## Beschreibung Modul Das Modul MEDIKATION enthält Datenelem…)	-	map the missing text to a target page section, or record the loss in the report's content map
C4-e4b03b	conservation	C4	DIVERGIERT	BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	4 of 8 PROSE runs of the source page are in no target page (first: ## Beschreibung von Szenarien für die Anwendung der Module K…)	-	map the missing text to a target page section, or record the loss in the report's content map
C4-196ae3	conservation	C4	DIVERGIERT	CapabilityStatement.page.md	3 of 6 PROSE runs of the source page are in no target page (first: ## Um eine dezentrale Datenauswertung mittels des Deutsche F…)	-	map the missing text to a target page section, or record the loss in the report's content map
C4-22cb93	conservation	C4	DIVERGIERT	Datenstzeinkl.Beschreibungen.page.md	1 of 7 PROSE runs of the source page are in no target page (first: Beschreibungen Das Modul Medikation umfasst Datensätze zur M…)	-	map the missing text to a target page section, or record the loss in the report's content map
